,date,building_1,building_10,building_11,building_12,building_13a,building_13b,building_13c,building_13d,building_13e,building_13f,building_15,building_16,building_17,building_18,building_19,building_2,building_20,building_21,building_22,building_23,building_24,building_25,building_26,building_27,building_28,building_29,building_30,building_31,building_32,building_33,building_35,building_36,building_37,building_38,building_3a,building_3b,building_3d,building_3e,building_4,building_40,building_41,building_42,building_43,building_44,building_45,building_46,building_47,building_48,building_5,building_50,building_53,building_54,building_56,building_59,building_6,building_61,building_62,building_63,building_64,building_67,building_68,building_69,building_7,building_70,building_72,building_73,building_74,building_75,building_76,building_77,building_8,building_80,building_81,building_82,building_84,building_85,building_86,building_87,building_88,building_89,building_9,building_90
735,20150321,,,,,,,,,,,,,,,,,,,,,756.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,20150322,,,,,,,,,,,,,,,,,,,,,822.453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,20150323,,,,,,,,,,,,,,,,,,,,,1418.5234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,20150324,,,,,,,,,,,,,,,,,,,,,1170.7265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,20150325,,,,,,,,,,,,,,,,,,,,,1127.1484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,20150326,,,,,,,,,,,,,,,,,,,,,1058.953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,20150327,,,,,,,,,,,,,,,,,,,,,978.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,20150328,,,,,,,,,,,,,,,,,,,,,692.96875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,20150329,,,,,,,,,,,,,,,,,,,,,794.2890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,20150330,,,,,,,,,,,,,,,,,,,,,1255.1328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,20150331,,,,,,,,,,,,,,,,,,,,,1185.5546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,20150401,,,,,,,,,,,,,,,,,,,,,1135.796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,20150402,,,,,,,,,,,,,,,,,,,,,1102.453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,20150403,,,,,,,,,,,,,,,,,,,,,714.84375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,20150404,,,,,,,,,,,,,,,,,,,,,704.8359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,20150405,,,,,,,,,,,,,,,,,,,,,718.34375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,20150406,,,,,,,,,,,,,,,,,,,,,732.0703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,20150407,,,,,,,,,,,,,,,,,,,,,754.59375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,20150408,,,,,,,,,,,,,,,,,,,,,942.3671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,20150409,,,,,,,,,,,,,,,,,,,,,1046.0234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,20150410,,,,,,,,,,,,,,,,,,,,,1108.71875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,20150411,,,,,,,,,,,,,,,,,,,,,878.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,20150412,,,,,,,,,,,,,,,,,,,,,775.2890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,20150413,,,,,,,,,,,,,,,,,,,,,1181.5234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,20150414,,,,,,,,,,,,,,,,,,,,,1148.6953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4957.0000076293845,,,,,,,,,,,,,,,,,,,,,,,,
